1,The Curious Incident of the Dog In the Night-,,Kodansha,Romance,12
2,Time,Mark Haddon,Bertelsmann,Historical,17
3,The Mysterious Island,Jules Verne,Informa,Romance,9
4,Song of Solomon,Toni Morrison,Kadokawa Publishing,Historical,19
5,Nana,Émile Zola,Informa,Coming of age,11
6,Quo Vadis,Henryk Sienkiewicz,HarperCollins,Coming of age,15
7,Main Street,Sinclair Lewis,Holdings II,Science Fiction,10
8,Matilda,Roald Dahl,Pearson,Horror,9
9,Lolita,Vladimir Vladimirovich,Hachette Livre,Political,25
10,Nabokov,,Harcourt,Historical,19
11,Paper Towns,John Green,Houghton Mifflin,Coming of age,8
12,Sounder,William H. Armstrong,Oxford University,Allegaries,10
13,"Are You There God? It's Me, Margaret",Judy Blume,Holtzbrinck,Science Fiction,16
14,The Notebook,Nicholas Sparks,Hachette Livre,Thriller,3
15,From the Mixed-Up Files of Mrs. Basil E.,,Scholastic,Coming of age,8
16,Frankweiler,E.L. Konigsburg,Pearson,War,23
17,Atlas Shrugged,Ayn Rand,Oxford University,Fantasy,12
18,Swann's Way,Marcel Proust,Press,Autobiographical,4
19,Ender's Game,Orson Scott Card,Informa,Allegaries,27
20,The Name of the Rose,Umberto Eco,Harcourt,Coming of age,4
21,A Time to Kill,John Grisham,Informa,Horror,6
22,Water for Elephants,Sara Gruen,Informa,Science Fiction,13
23,The Time Machine,H.G. Wells,Holdings II,Historical,21
24,Eragon,Christopher Paolini,Grupo Planeta,Historical,8
25,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Thomson Reuters*,War,13
26,Buddenbrooks,Thomas Mann,Bertelsmann,Thriller,13
27,A Thousand Splendid Suns,Khaled Hosseini,Cengage Learning,Romance,16
28,The Witch of Blackbird Pond,Elizabeth George Speare,Harcourt,Autobiographical,25
29,And Then There Were None,Agatha Christie,Houghton Mifflin,Science Fiction,13
30,A Separate Peace,John Knowles,Shueisha,Coming of age,27
31,Breaking Dawn,Stephenie Meyer,HarperCollins,Science Fiction,13
32,As I Lay Dying,William Faulkner,Informa,Thriller,18
33,The Girl Who Played With Fire,Stieg Larsson,Harcourt,Historical,2
34,Where the Red Fern Grows,Wilson Rawls,Thomson Reuters*,Thriller,9
35,Le Morte D'Arthur,Thomas Malory,Springer Nature,Romance,24
36,Mockingjay,Suzanne Collins,Springer Nature,Coming of age,21
37,The Pillars of the Earth,Ken Follett,Holdings II,Romance,4
38,Persian Letters,Montesquieu,Hachette Livre,Historical,19
39,The Client,John Grisham,HarperCollins,Fantasy,25
40,Sula,Toni Morrison,Wiley,War,10
41,Tales of a Fourth Grade Nothing,Judy Blume,Oxford University,Political,27
42,The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,Howard Pyle,McGraw-Hill Education,War,23
43,Tortilla Flat,John Steinbeck,Pearson,Thriller,26
44,"Look Homeward, Angel",Thomas Wolfe,Kadokawa Publishing,Thriller,9
45,The Mystery of Edwin Drood,Charles Dickens,Harcourt,War,22
46,Brideshead Revisited,Evelyn Waugh,Holdings II,Coming of age,19
47,The Pelican Brief,John Grisham,Harcourt,Allegaries,0
48,Atonement,Ian McEwan,Grupo Planeta,Science Fiction,10
49,Washington Square,Henry James,Harcourt,Political,14
50,Like Water for Chocolate,Laura Esquivel,Press,Allegaries,25
