1,"The Lion, the Witch, and the Wardrobe",C.S. Lewis,Wiley,Fantasy,5
2,The Hunchback of Notre Dame,Victor Hugo,Pearson,War,13
3,Pinocchio,Carlo Collodi,Scholastic,Allegaries,0
4,One Hundred Years of Solitude,Gabriel García Márquez,Thomson Reuters*,Coming of age,8
5,Ivanhoe,Walter Scott,Holtzbrinck,Horror,10
6,The Red Badge of Courage,Stephen Crane,Springer Nature,Thriller,9
7,Anne of Green Gables,L.M. Montgomery,Thomson Reuters*,Fantasy,24
8,Black Beauty,Anna Sewell,Wiley,Science Fiction,18
9,Peter Pan,J.M. Barrie,Springer Nature,Science Fiction,4
10,A Farewell to Arms,Ernest Hemingway,HarperCollins,Fantasy,11
11,The House of the Seven Gables,Nathaniel Hawthorne,Kodansha,War,12
12,Lord of the Flies,William Golding,Holtzbrinck,Political,25
13,The Prince and the Pauper,Mark Twain,Thomson Reuters*,Thriller,8
14,A Portrait of the Artist as a Young Man,James Joyce,RELX Group,Science Fiction,6
15,Lord Jim,Joseph Conrad,McGraw-Hill Education,War,25
16,Harry Potter and the Chamber of Secrets,J.K. Rowling,Holtzbrinck,War,12
17,The Red & the Black,Stendhal,HarperCollins,Fantasy,17
18,The Stranger,Albert Camus,HarperCollins,War,5
19,The Trial,Franz Ka ka,Grupo Planeta,Thriller,19
20,Lady Chatterley's Lover,D.H. Lawrence,Wiley,Allegaries,25
21,Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,Pearson,Science Fiction,5
22,The Catcher in the Rye,J.D. Salinger,McGraw-Hill Education,Horror,6
23,Fahrenheit 451,Ray Bradbury,Bertelsmann,Political,15
24,A Journey to the Center of the Earth,Jules Verne,Shueisha,War,8
25,Vanity Fair,William Makepeace Thackeray,Oxford University,Science Fiction,17
26,All Quiet on the Western Front,Erich Maria Remarque,Holdings II,Autobiographical,7
27,Gone with the Wind,Margaret Mitchell,Houghton Mifflin,Coming of age,0
28,My Ántonia,Willa Cather,Bertelsmann,War,25
29,Of Mice and Men,John Steinbeck,Springer Nature,Allegaries,17
30,The Vicar of Wake ield,Oliver Goldsmith,Springer Nature,Mystery/Detective,7
31,White Fang,Jack London,Cengage Learning,Science Fiction,18
32,White Fang,Jack London,Kadokawa Publishing,Historical,24
33,Fathers and Sons,Ivan Sergeevich Turgenev,Wolters Kluwer*,Romance,21
34,Doctor Zhivago,Boris Leonidovich Pasternak,Harcourt,Allegaries,6
35,The Decameron,Giovanni Boccaccio,Hachette Livre,Mystery/Detective,1
36,Nineteen Eighty-Four,George Orwell,Shueisha,Romance,3
37,The Jungle,Upton Sinclair,Bertelsmann,Action and Adventure,16
38,The Da Vinci Code,Dan Brown,Wiley,Allegaries,4
39,Persuasion,Jane Austen,Holdings II,Political,2
40,Mans ield Park,Jane Austen,Informa,Thriller,16
41,Candide,Voltaire,Wiley,Coming of age,10
42,For Whom the Bell Tolls,Ernest Hemingway,Holdings II,Allegaries,20
43,Far from the Madding Crowd,Thomas Hardy,Press,Action and Adventure,4
44,The Fellowship of the Ring,J.R.R. Tolkien,Hachette Livre,Political,3
45,The Return of the Native,Thomas Hardy,Wolters Kluwer*,Science Fiction,8
46,Sons and Lovers,D.H. Lawrence,Houghton Mifflin,Mystery/Detective,21
47,Charlotte's Web,E.B. White,Scholastic,Science Fiction,27
48,The Swiss Family Robinson,Johann David Wyss,Holdings II,Coming of age,13
49,Bleak House,Charles Dickens,Shueisha,Horror,7
50,Père Goriot,Honoré de Balzac,Informa,Autobiographical,3
