1,Don Quixote,Miguel de Cervantes,Kodansha,Science Fiction,20
2,Alice's Adventures in Wonderland,Lewis Carroll,Thomson Reuters*,Autobiographical,9
3,The Adventures of Huckleberry Finn,Mark Twain,HarperCollins,Mystery/Detective,13
4,The Adventures of Tom Sawyer,Mark Twain,Cengage Learning,Romance,21
5,Treasure Island,Robert Louis Stevenson,Wiley,Coming of age,19
6,Pride and Prejudice,Jane Austen,Kodansha,Fantasy,0
7,Wuthering Heights,Emily Brontë,Holdings II,Fantasy,15
8,Jane Eyre,Charlotte Brontë,Cengage Learning,Action and Adventure,8
9,Moby Dick,Herman Melville,Shueisha,Mystery/Detective,23
10,The Scarlet Letter,Nathaniel Hawthorne,Holtzbrinck,Political,20
11,Gulliver's Travels,Jonathan Swift,Scholastic,Autobiographical,24
12,The Pilgrim's Progress,John Bunyan,Harcourt,Horror,10
13,A Christmas Carol,Charles Dickens,Kadokawa Publishing,Allegaries,17
14,David Copper ield,Charles Dickens,Grupo Planeta,Thriller,15
15,A Tale of Two Cities,Charles Dickens,Kadokawa Publishing,Political,4
16,Little Women,Louisa May Alcott,Houghton Mifflin,Science Fiction,17
17,Great Expectations,Charles Dickens,Cengage Learning,Romance,10
18,"The Hobbit, or, There and Back Again",J.R.R. Tolkien,Hachette Livre,Romance,7
19,The modern Prometheus,Mary Shelley,Springer Nature,Mystery/Detective,25
20,Oliver Twist,Charles Dickens,Informa,Fantasy,21
21,Uncle Tom's Cabin,Harriet Beecher Stowe,HarperCollins,Political,13
22,Crime and Punishment,Fyodor Dostoyevsky,Kadokawa Publishing,Coming of age,21
23,Madame Bovary: Patterns of Provincial life,Gustave Flaubert,Wolters Kluwer*,Fantasy,23
24,The Return of the King,J.R.R. Tolkien,HarperCollins,Horror,24
25,Dracula,Bram Stoker,Bertelsmann,Romance,17
26,The Three Musketeers,Alexandre Dumas,Kadokawa Publishing,Science Fiction,1
27,Brave New World,Aldous Huxley,Grupo Planeta,Mystery/Detective,9
28,War and Peace,Leo Tolstoy,Shueisha,Autobiographical,17
29,To Kill a Mockingbird,Harper Lee,Thomson Reuters*,Horror,20
30,The Wizard of Oz,L. Frank Baum,Scholastic,Action and Adventure,17
31,Les Misérables,Victor Hugo,Informa,Romance,9
32,The Secret Garden,Frances Hodgson Burnett,Springer Nature,Science Fiction,14
33,Animal Farm,George Orwell,Cengage Learning,Thriller,2
34,The Great Gatsby,F. Scott Fitzgerald,Kodansha,War,0
35,The Little Prince,Antoine de Saint-Exupéry,Bertelsmann,Fantasy,16
36,The Call of the Wild,Jack London,Informa,Fantasy,17
37,"20,000 Leagues Under the Sea",Jules Verne,Holtzbrinck,Political,25
38,Anna Karenina,Leo Tolstoy,Scholastic,Coming of age,15
39,The Wind in the Willows,Kenneth Grahame,Wolters Kluwer*,Political,20
40,The Picture of Dorian Gray,Oscar Wilde,Pearson,Allegaries,12
41,The Grapes of Wrath,John Steinbeck,Wiley,Political,15
42,Sense and Sensibility,Jane Austen,HarperCollins,Political,3
43,The Last of the Mohicans,James Fenimore Cooper,Thomson Reuters*,Fantasy,18
44,Tess of the d'Urbervilles,Thomas Hardy,Hachette Livre,Coming of age,23
45,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Houghton Mifflin,Horror,24
46,Heidi,Johanna Spyri,Cengage Learning,Thriller,12
47,Ulysses,James Joyce,Cengage Learning,Fantasy,7
48,The Complete Sherlock Holmes,Arthur Conan Doyle,Oxford University,Thriller,12
49,The Count of Monte Cristo,Alexandre Dumas,Kadokawa Publishing,Coming of age,2
50,The Old Man and the Sea,Ernest Hemingway,Springer Nature,Romance,26
