1,The Mayor of Casterbridge,Thomas Hardy,Grupo Planeta,War,17
2,"Cry, The Beloved Country",Alan Paton,Holtzbrinck,Allegaries,13
3,The Last Battle,C.S. Lewis,Kadokawa Publishing,Romance,6
4,Captains Courageous,Rudyard Kipling,Pearson,Political,12
5,The Castle,Franz Kafka,Shueisha,Horror,7
6,The Metamorphosis,Franz Ka ka,Informa,Political,8
7,The Magic Mountain (Der Zauberberg),Thomas Mann,Wiley,Mystery/Detective,14
8,James and the Giant Peach,Roald Dahl,Holtzbrinck,Coming of age,2
9,The Horse and His Boy,C.S. Lewis,Scholastic,Coming of age,11
10,Angels & Demons,Dan Brown,Shueisha,Mystery/Detective,6
11,The Voyage of the Dawn Treader,C.S. Lewis,Bertelsmann,Fantasy,4
12,The Bell Jar,Sylvia Plath,Thomson Reuters*,Historical,10
13,Women in Love,D.H. Lawrence,Holdings II,Historical,10
14,The Yearling,Marjorie Kinnan Rawlings,McGraw-Hill Education,War,22
15,O Pioneers!,Willa Cather,HarperCollins,Historical,4
16,The Handmaid's Tale,Margaret Atwood,Bertelsmann,Science Fiction,27
17,The Moonstone,Wilkie Collins,Informa,Coming of age,8
18,The Old Curiosity Shop,Charles Dickens,Wiley,Fantasy,13
19,Little Dorrit,Charles Dickens,Wiley,Mystery/Detective,25
20,Prince Caspian: The Return to Narnia,C.S. Lewis,Holdings II,Action and Adventure,15
21,Sister Carrie,Theodore Dreiser,Grupo Planeta,Autobiographical,5
22,The Silver Chair,C.S. Lewis,Thomson Reuters*,Political,15
23,The Hunger Games,Suzanne Collins,Houghton Mifflin,Thriller,12
24,This Side of Paradise,F. Scott Fitzgerald,Pearson,Science Fiction,10
25,Eugénie Grandet,Honoré de Balzac,Grupo Planeta,War,5
26,Of Human Bondage,W. Somerset Maugham,Hachette Livre,Allegaries,9
27,Dream of the Red Chamber,Cao Xueqin,Wiley,Coming of age,14
28,Life of Pi,Yann Martel,Springer Nature,Autobiographical,15
29,Harry Potter and the Deathly Hallows,J.K. Rowling,Houghton Mifflin,War,0
30,Invisible Man,Ralph Ellison,Pearson,Science Fiction,25
31,Steppenwolf,Hermann Hesse,Kodansha,Allegaries,20
32,The Sorrows of Young Werther,Johann Wolfgang von Goethe,Harcourt,Coming of age,25
33,Bridge to Terabithia,Katherine Paterson,Informa,Allegaries,18
34,The Invisible Man,H.G. Wells,RELX Group,Coming of age,19
35,Holes,Louis Sachar,Springer Nature,Political,1
36,Siddhartha,Hermann Hesse,HarperCollins,Science Fiction,0
37,A Tree Grows in Brooklyn,Betty Smith,Press,War,6
38,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,Wolters Kluwer*,Romance,3
39,In Cold Blood,Truman Capote,Wolters Kluwer*,Mystery/Detective,18
40,The House of the Spirits,Isabel Allende,Hachette Livre,Mystery/Detective,2
41,Adam Bede,George Eliot,Cengage Learning,Allegaries,14
42,The Betrothed,Alessandro Manzoni,Bertelsmann,Horror,15
43,The Book Thief,Markus Zusak,Kadokawa Publishing,Science Fiction,6
44,Their Eyes Were Watching God,Zora Neale Hurston,Scholastic,Mystery/Detective,0
45,One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn,Wiley,Horror,14
46,The Sea Wolf,Jack London,Holdings II,Political,18
47,Catching Fire,Suzanne Collins,Kodansha,Fantasy,15
48,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Bertelsmann,Mystery/Detective,19
49,Death Comes for the Archbishop,Willa Cather,Harcourt,Historical,19
50,The House of Mirth,Edith Wharton,Cengage Learning,Fantasy,10
