1,Resurrection,Leo Tolstoy,Wiley,Thriller,6
2,Fearless Fourteen,Janet Evanovich,Kodansha,Horror,2
3,A Sentimental Journey Through France and Italy,Laurence Sterne,Harcourt,Autobiographical,17
4,The King of Torts,John Grisham,Pearson,Horror,17
5,The Graveyard Book,Neil Gaiman,Kodansha,Fantasy,18
6,The Quiet American,Graham Greene,Shueisha,Romance,9
7,The Chamber,John Grisham,Shueisha,Fantasy,13
8,The English Patient,Michael Ondaatje,Cengage Learning,Thriller,18
9,Snow Falling on Cedars,David Guterson,HarperCollins,Political,20
10,The Long Winter,Laura Ingalls Wilder,Wiley,Coming of age,1
11,"Sarah, Plain and Tall",Patricia MacLachlan,Press,Science Fiction,22
12,Cross Country,James Patterson,Press,Romance,23
13,The Spy Who Came In from the Cold,John Le Carré,Wiley,Romance,17
14,A Game of Thrones,George R.R. Martin,Houghton Mifflin,Action and Adventure,15
15,The Thorn Birds,Colleen McCullough,Press,Mystery/Detective,7
16,Old Yeller,Fred Gipson,Hachette Livre,Fantasy,11
17,"Ramona Quimby, Age 8",Beverly Cleary,Houghton Mifflin,Romance,3
18,Death In Venice,Thomas Mann,Hachette Livre,Action and Adventure,23
19,By the Shores of Silver Lake,Laura Ingalls Wilder,Grupo Planeta,Allegaries,0
20,Inferno,Dan Brown,McGraw-Hill Education,Thriller,24
21,Schindler's List,Thomas Keneally,Pearson,Romance,25
22,Jonathan Livingston Seagull,Richard Bach,Wolters Kluwer*,Autobiographical,19
23,The Stand,Stephen King,Springer Nature,Romance,0
24,The Last Juror,John Grisham,Hachette Livre,Thriller,18
25,Shiloh,Phyllis Reynolds Naylor,Thomson Reuters*,Political,0
26,Girl With a Pearl Earring,Tracy Chevalier,Cengage Learning,Romance,4
27,The Murder of Roger Ackroyd,Agatha Christie,McGraw-Hill Education,Coming of age,22
28,It,Stephen King,Kadokawa Publishing,Mystery/Detective,23
29,The Rainmaker,John Grisham,Press,Science Fiction,22
30,The Poisonwood Bible,Barbara Kingsolver,Springer Nature,Science Fiction,18
31,The Indian in the Cupboard,Lynne Reid Banks,Kadokawa Publishing,Mystery/Detective,14
32,The Maltese Falcon,Dashiell Hammett,Wiley,Political,25
33,The Warden,Anthony Trollope,Bertelsmann,Thriller,20
34,The Summons,John Grisham,Bertelsmann,Mystery/Detective,3
35,Encyclopedia Brown: Boy Detective,Donald J. Sobol,Hachette Livre,Fantasy,19
36,The Time Traveler's Wife,Audrey Niffenegger,Wiley,Mystery/Detective,2
37,The Incredible Journey,Sheila Burnford,Hachette Livre,Coming of age,18
38,Daughter of Fortune,Isabel Allende,Pearson,Horror,20
39,Shirley,Charlotte Brontë,Pearson,Coming of age,6
40,"Bud, Not Buddy",Christopher Paul Curtis,Pearson,Historical,0
41,The Horse Whisperer,Nicholas Evans,Holtzbrinck,Action and Adventure,6
42,The Street Lawyer,John Grisham,Holtzbrinck,Thriller,7
43,Nausea,Jean-Paul Sartre,Harcourt,Romance,16
44,To Have and Have Not,Ernest Hemingway,Holtzbrinck,Romance,19
45,The Bridges of Madison County,Robert James Waller,RELX Group,Coming of age,14
46,Anne of the Island,L.M. Montgomery,Cengage Learning,Allegaries,20
47,The Winter of Our Discontent,John Steinbeck,Press,Coming of age,7
48,The Shining,Stephen King,Springer Nature,Allegaries,27
49,The Tenant of Wildfell Hall,Anne Brontë,Harcourt,Thriller,5
50,First Family,David Baldacci,Grupo Planeta,War,26
