1,The Partner,John Grisham,Shueisha,War,4
2,The Girl on the Train,Paula Hawkins,Press,Coming of age,3
3,The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,HarperCollins,Horror,10
4,The Rise of Silas Lapham,William Dea Howells,Holtzbrinck,Fantasy,7
5,The Choice,Nicholas Sparks,Press,Science Fiction,18
6,The Virginian: A Horseman of the Plains,Owen Wister,Harcourt,Romance,4
7,A Walk to Remember,Nicholas Sparks,Pearson,Romance,26
8,The Maze Runner,James Dashner,Pearson,Political,22
9,The Westing Game,Ellen Raskin,Hachette Livre,War,5
10,Misty of Chincoteague,Marguerite Henry,Springer Nature,Thriller,22
11,Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,Wolters Kluwer*,Coming of age,18
12,King Solomon's Mines,H. Rider Haggard,Wiley,Fantasy,17
13,The Princess of Cleves,Madame de (Marie-,Grupo Planeta,Romance,7
14,Jacob Have I Loved,Katherine Paterson,Informa,Romance,26
15,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,Kadokawa Publishing,Allegaries,4
16,Misery,Stephen King,Holdings II,Mystery/Detective,20
17,The Cider House Rules,John Irving,Kodansha,War,24
18,King of the Wind,Marguerite Henry,Kadokawa Publishing,Horror,7
19,The Once and Future King,T. H. White,Press,Allegaries,15
20,The Witches,Roald Dahl,Kodansha,Thriller,15
21,The Subtle Knife,Philip Pullman,Wolters Kluwer*,Mystery/Detective,11
22,When You Reach Me,Rebecca Stead,Hachette Livre,Science Fiction,19
23,Carrie,Stephen King,Springer Nature,Horror,26
24,The Moon and Sixpence,W. Somerset Maugham,Holtzbrinck,Action and Adventure,18
25,The Higher Power of Lucky,Susan Patron,RELX Group,Science Fiction,1
26,"Looking Backward, 2000-1887",Edward Bellamy,Holdings II,Fantasy,26
27,The Wings of the Dove,Henry James,Hachette Livre,Mystery/Detective,18
28,The Summer of the Swans,Betsy Cromer Byars,Cengage Learning,Fantasy,10
29,Dangerous Liaisons,Choderlos de Laclos,Bertelsmann,Thriller,26
30,Jurassic Park,Michael Crichton,Holtzbrinck,Horror,23
31,The Absolutely True Diary of a Part-time Indian,Sherman Alexie,Holtzbrinck,Coming of age,27
32,The Grey King,Susan Cooper,Holdings II,Science Fiction,26
33,The Leopard,Giuseppe Tomasi di Lampedusa,McGraw-Hill Education,Thriller,1
34,The Mammoth Hunters,Jean M. Auel,Springer Nature,Mystery/Detective,1
35,The Trumpet of the Swan,E.B. White,Pearson,Fantasy,13
36,The Lucky One,Nicholas Sparks,Holtzbrinck,Historical,27
37,These Happy Golden Years,Laura Ingalls Wilder,McGraw-Hill Education,Political,20
38,Arrowsmith,Sinclair Lewis,McGraw-Hill Education,Autobiographical,25
39,Julie of the Wolves,Jean Craighead George,Informa,Mystery/Detective,24
40,The Screwtape Letters,C.S. Lewis,Holtzbrinck,Horror,3
41,The Fall,Albert Camus,Pearson,Historical,13
42,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,Grupo Planeta,Horror,4
43,Worst Case,James Patterson,Kodansha,Fantasy,1
44,Lost Horizon,James Hilton,Grupo Planeta,Thriller,12
45,The Gunslinger,Stephen King,Oxford University,Fantasy,26
46,The Slave Dancer,Paula Fox,Shueisha,Horror,8
47,Harry Potter and the Half-Blood Prince,J.K. Rowling,RELX Group,Thriller,8
48,Inkheart,Cornelia Funke,Holtzbrinck,Political,18
49,Ramona and her Father,Beverly Cleary,Oxford University,Romance,17
50,Inkspell,Cornelia Funke,Kadokawa Publishing,Horror,11
