1,The Golden Compass,Philip Pullman,HarperCollins,Autobiographical,24
2,The Secret Life of Bees,Sue Monk Kidd,Bertelsmann,Action and Adventure,12
3,The Fault In Our Stars,John Green,Grupo Planeta,Science Fiction,7
4,Nostromo,Joseph Conrad,Kodansha,War,23
5,Finnegans Wake,James Joyce,Scholastic,Horror,5
6,The Brethren,John Grisham,HarperCollins,War,25
7,Coraline,Neil Gaiman,Holtzbrinck,Autobiographical,18
8,Heart of Darkness,Joseph Conrad,Wiley,Thriller,11
9,On the Banks of Plum Creek,Laura Ingalls Wilder,Harcourt,Romance,19
10,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,Scholastic,Horror,23
11,The Ambassadors,Henry James,Scholastic,Fantasy,2
12,The Secret Agent,Joseph Conrad,Pearson,Action and Adventure,20
13,The House on Mango Street,Sandra Cisneros,RELX Group,Action and Adventure,1
14,Go Tell It on the Mountain,James Baldwin,McGraw-Hill Education,Historical,7
15,The Testament,John Grisham,Shueisha,War,9
16,The Clan of the Cave Bear,Jean M. Auel,Shueisha,Thriller,11
17,Cranford,Elizabeth Cleghorn Gaskell,Kodansha,Science Fiction,8
18,Because of Winn-Dixie,Kate DiCamillo,Kodansha,Horror,3
19,My Side of the Mountain,Jean Craighead George,Harcourt,Mystery/Detective,7
20,The Runaway Jury,John Grisham,Pearson,Historical,23
21,The Mouse and the Motorcycle,Beverly Cleary,Hachette Livre,Action and Adventure,4
22,The Lost Symbol,Dan Brown,Kadokawa Publishing,Coming of age,13
23,The Forsyte Saga,John Galsworthy,Holdings II,Romance,18
24,Gone Girl,Gillian Flynn,Wiley,Romance,15
25,The Lightning Thief,Rick Riordan,Wiley,Science Fiction,23
26,The Last Days of Pompeii,Edward Bulwer Lytton,Wiley,Autobiographical,16
27,The Reader,Bernhard Schlink,Kadokawa Publishing,War,13
28,Caddie Woodlawn,Carol Ryrie Brink,Kodansha,Mystery/Detective,19
29,The Tale of Despereaux,Kate DiCamillo,Oxford University,Mystery/Detective,0
30,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Wiley,Romance,24
31,Dear Mr. Henshaw,Beverly Cleary,Grupo Planeta,Thriller,17
32,The Killer Angels,Michael Shaara,Springer Nature,Political,10
33,Chronicle of a Death Foretold,Gabriel García Márquez,Press,Thriller,13
34,The Five People You Meet In Heaven,Mitch Albom,Scholastic,Action and Adventure,16
35,The Master and Margarita,Mikhail Bulgakov,Springer Nature,Thriller,7
36,"Winesburg, Ohio",Sherwood Anderson,Springer Nature,Allegaries,13
37,P Is for Peril,Sue Grafton,Informa,Historical,25
38,My Sister's Keeper,Jodi Picoult,Harcourt,Science Fiction,12
39,Barnaby Rudge,Charles Dickens,Shueisha,Horror,6
40,Howards End,E.M. Forster,Shueisha,Action and Adventure,7
41,The Broker,John Grisham,RELX Group,Fantasy,26
42,The Camel Club,David Baldacci,Houghton Mifflin,Allegaries,8
43,The Rainbow,D.H. Lawrence,Press,Romance,5
44,The Man In the Iron Mask,Alexandre Dumas,Grupo Planeta,Romance,22
45,Mary Poppins,P.L. Travers,HarperCollins,Science Fiction,23
46,Artemis Fowl,Eoin Colfer,Wiley,Romance,17
47,Dear John,Nicholas Sparks,Grupo Planeta,Historical,24
48,Cold Mountain,Charles Frazier,Pearson,Science Fiction,9
49,Flowers for Algernon,Daniel Keyes,RELX Group,Horror,9
50,The Dark Is Rising,Susan Cooper,Wiley,Allegaries,20
