1,Utopia,Thomas More,McGraw-Hill Education,Thriller,22
2,"The History of Tom Jones, a Foundling",Henry Fielding,Grupo Planeta,Horror,15
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Houghton Mifflin,Romance,21
4,Kim,Rudyard Kipling,Oxford University,Fantasy,18
5,The Sound and the Fury,William Faulkner,Houghton Mifflin,Action and Adventure,12
6,Harry Potter and the Goblet of Fire,J.K. Rowling,Wolters Kluwer*,Romance,10
7,The Mill on the Floss,George Eliot,Kodansha,Coming of age,11
8,A Wrinkle in Time,Madeleine L'Engle,Shueisha,Autobiographical,22
9,The Hound of the Baskervilles,Arthur Conan Doyle,HarperCollins,Autobiographical,17
10,The Two Towers,J.R.R. Tolkien,Wolters Kluwer*,Horror,19
11,The War of the Worlds,H.G. Wells,Holtzbrinck,Fantasy,27
12,Middlemarch,George Eliot,HarperCollins,Romance,3
13,The Age of Innocence,Edith Wharton,Holtzbrinck,Coming of age,5
14,The Color Purple,Alice Walker,RELX Group,Autobiographical,21
15,Northanger Abbey,Jane Austen,Kadokawa Publishing,Fantasy,26
16,East of Eden,John Steinbeck,Wiley,Horror,2
17,On the Road,Jack Kerouac,Press,Fantasy,3
18,Catch-22,Joseph Heller,Houghton Mifflin,War,10
19,Around the World in Eighty Days,Jules Verne,Wiley,Science Fiction,19
20,Hard Times,Charles Dickens,HarperCollins,Allegaries,8
21,Beloved,Toni Morrison,Bertelsmann,Fantasy,10
22,Mrs. Dalloway,Virginia Woolf,Shueisha,Thriller,22
23,To the Lighthouse,Virginia Woolf,HarperCollins,Romance,19
24,The Magician's Nephew,C.S. Lewis,Houghton Mifflin,Allegaries,22
25,Harry Potter and the Order of the Phoenix,J.K. Rowling,Kodansha,Action and Adventure,5
26,The Sun Also Rises,Ernest Hemingway,HarperCollins,Action and Adventure,21
27,The Good Earth,Pearl S. Buck,RELX Group,Political,25
28,Silas Marner,George Eliot,Shueisha,Romance,26
29,Love in the Time of Cholera,Gabriel García Márquez,HarperCollins,Action and Adventure,24
30,Rebecca,Daphne Du Maurier,Grupo Planeta,Fantasy,23
31,Jude the Obscure,Thomas Hardy,Oxford University,Horror,10
32,Twilight,Stephenie Meyer,Informa,Autobiographical,14
33,A Passage to India,E.M. Forster,Cengage Learning,Thriller,4
34,The Plague,Albert Camus,Houghton Mifflin,War,25
35,Nicholas Nickleby,Charles Dickens,Press,Romance,5
36,The Pearl,John Steinbeck,McGraw-Hill Education,Allegaries,13
37,Ethan Frome,Edith Wharton,Kodansha,Mystery/Detective,3
38,The Tale of Genji,Murasaki Shikibu,Holtzbrinck,Science Fiction,1
39,The Giver,Lois Lowry,Press,Autobiographical,13
40,The Alchemist,Paulo Coelho,Springer Nature,Horror,7
41,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Holtzbrinck,Autobiographical,6
42,Robinson Crusoe,Daniel Defoe,Thomson Reuters*,Romance,11
43,Tender is the Night,F. Scott Fitzgerald,Cengage Learning,Action and Adventure,19
44,The Idiot,Fyodor Dostoyevsky,Informa,Allegaries,18
45,Hatchet,Gary Paulsen,Scholastic,Mystery/Detective,23
46,The Kite Runner,Khaled Hosseini,Press,Historical,7
47,One Flew Over the Cuckoo's Nest,Ken Kesey,Bertelsmann,Political,22
48,The Portrait of a Lady,Henry James,McGraw-Hill Education,Historical,14
49,The Outsiders,S.E. Hinton,Kadokawa Publishing,Political,11
50,Ben-Hur,Lew Wallace,Houghton Mifflin,Mystery/Detective,8
